"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per day/Trips (number)";"Average per person per day/Distance travelled                       (passenger kilometres )";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2021";"    0.08";"    0.89";"      29";"     324"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2018";"    0.06";"    0.92";"      22";"     334"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2019";"    0.06";"    0.92";"      21";"     337"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2020";"    0.03";"    0.40";"      10";"     146"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2021";"    0.03";"    0.45";"      11";"     165"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2018";"    0.04";"    0.80";"      15";"     291"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2019";"    0.04";"    0.78";"      15";"     285"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2020";"    0.02";"    0.40";"       7";"     147"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2021";"    0.01";"    0.25";"       5";"      93"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2018";"    0.04";"    0.79";"      13";"     289"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2019";"    0.03";"    0.74";"      12";"     268"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2020";"    0.01";"    0.33";"       5";"     120"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2021";"    0.02";"    0.46";"       7";"     169"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2018";"    0.03";"    0.77";"      12";"     280"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2019";"    0.03";"    0.84";"      12";"     308"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Total";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2021";"    0.02";"    0.46";"       7";"     170"
"Total";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2018";"    0.79";"    3.16";"     289";"    1155"
"Total";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2019";"    0.76";"    3.01";"     276";"    1098"
"Total";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2020";"    0.63";"    2.61";"     229";"     955"
"Total";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2021";"    0.64";"    2.68";"     232";"     979"
"Total";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2018";"    0.86";"    3.26";"     313";"    1189"
"Total";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2019";"    0.82";"    3.11";"     300";"    1137"
"Total";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2020";"    0.64";"    2.59";"     234";"     947"
"Total";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2021";"    0.65";"    2.61";"     236";"     954"
"Total";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2018";"    0.81";"    3.17";"     296";"    1157"
"Total";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2019";"    0.77";"    2.95";"     282";"    1076"
"Total";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2020";"    0.63";"    2.43";"     232";"     891"
"Total";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2021";"    0.64";"    2.55";"     235";"     929"
"Total";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2018";"    0.79";"    3.15";"     287";"    1149"
"Total";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2019";"    0.79";"    3.11";"     287";"    1137"
"Total";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2020";"    0.68";"    2.75";"     249";"    1007"
"Total";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2021";"    0.69";"    2.81";"     251";"    1024"
"Total";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2018";"    0.75";"    3.10";"     275";"    1131"
"Total";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2019";"    0.71";"    2.99";"     258";"    1090"
"Total";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2020";"    0.60";"    2.79";"     218";"    1022"
"Total";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2021";"    0.61";"    2.76";"     223";"    1009"
"Total";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2018";"    0.64";"    3.07";"     234";"    1121"
"Total";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2019";"    0.58";"    2.77";"     212";"    1012"
"Total";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2020";"    0.53";"    2.57";"     195";"     941"
"Total";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2021";"    0.55";"    2.99";"     199";"    1090"
"Total";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2018";"    0.44";"    0.90";"     162";"     328"
"Total";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2019";"    0.43";"    0.88";"     155";"     322"
"Total";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2020";"    0.52";"    1.12";"     191";"     411"
"Total";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2021";"    0.61";"    1.38";"     224";"     505"
"Total";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2018";"    0.55";"    1.08";"     200";"     395"
"Total";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2019";"    0.53";"    1.06";"     193";"     387"
"Total";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2020";"    0.60";"    1.21";"     220";"     442"
"Total";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2021";"    0.73";"    1.56";"     265";"     568"
"Total";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2018";"    0.46";"    0.92";"     167";"     336"
"Total";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2019";"    0.42";"    0.89";"     155";"     323"
"Total";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2020";"    0.54";"    1.15";"     199";"     423"
"Total";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2021";"    0.62";"    1.36";"     226";"     498"
"Total";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2018";"    0.41";"    0.86";"     149";"     316"
"Total";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2019";"    0.41";"    0.82";"     148";"     298"
"Total";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2020";"    0.49";"    1.06";"     179";"     387"
"Total";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2021";"    0.56";"    1.29";"     205";"     470"
"Total";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2018";"    0.37";"    0.76";"     136";"     277"
"Total";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2019";"    0.36";"    0.78";"     133";"     283"
"Total";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2020";"    0.46";"    1.05";"     169";"     384"
"Total";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2021";"    0.54";"    1.31";"     198";"     478"
"Total";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2018";"    0.34";"    0.70";"     125";"     255"
"Total";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2019";"    0.32";"    0.73";"     119";"     266"
"Total";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2020";"    0.43";"    1.07";"     158";"     393"
"Total";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2021";"    0.51";"    1.26";"     186";"     461"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"The Netherlands";"2018";"    0.55";"   10.55";"     200";"    3852"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"The Netherlands";"2019";"    0.50";"    9.72";"     184";"    3549"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"The Netherlands";"2020";"    0.37";"    6.16";"     135";"    2254"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"The Netherlands";"2021";"    0.37";"    6.13";"     135";"    2237"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2018";"    0.55";"    9.65";"     200";"    3523"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2019";"    0.49";"    8.44";"     179";"    3082"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2020";"    0.31";"    4.69";"     113";"    1716"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2021";"    0.30";"    4.48";"     111";"    1634"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2018";"    0.55";"   10.67";"     199";"    3896"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2019";"    0.50";"    9.71";"     184";"    3543"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2020";"    0.36";"    6.28";"     133";"    2300"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2021";"    0.37";"    6.05";"     136";"    2209"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2018";"    0.54";"   10.52";"     199";"    3841"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2019";"    0.52";"   10.42";"     190";"    3804"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2020";"    0.41";"    6.43";"     149";"    2354"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2021";"    0.38";"    6.31";"     138";"    2304"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2018";"    0.56";"   11.17";"     204";"    4078"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2019";"    0.51";"   10.01";"     185";"    3654"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2020";"    0.41";"    7.04";"     151";"    2576"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2021";"    0.42";"    7.38";"     153";"    2693"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Not urbanised";"2018";"    0.55";"   11.18";"     200";"    4080"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Not urbanised";"2019";"    0.52";"   11.55";"     192";"    4216"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Not urbanised";"2020";"    0.39";"    7.43";"     144";"    2719"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"Not urbanised";"2021";"    0.43";"    8.15";"     157";"    2973"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2018";"    0.27";"    6.79";"      99";"    2477"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2019";"    0.25";"    6.20";"      90";"    2263"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2020";"    0.19";"    4.37";"      70";"    1601"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2021";"    0.19";"    4.33";"      69";"    1580"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2018";"    0.18";"    4.74";"      67";"    1729"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2019";"    0.16";"    4.08";"      60";"    1488"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2020";"    0.12";"    2.74";"      43";"    1003"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2021";"    0.12";"    2.57";"      42";"     939"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2018";"    0.27";"    7.03";"      99";"    2565"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2019";"    0.24";"    6.04";"      88";"    2203"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2020";"    0.19";"    4.40";"      68";"    1611"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2021";"    0.19";"    4.33";"      70";"    1582"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2018";"    0.30";"    6.98";"     109";"    2550"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2019";"    0.28";"    7.16";"     103";"    2614"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2020";"    0.22";"    4.70";"      81";"    1721"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2021";"    0.21";"    4.63";"      75";"    1688"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2018";"    0.32";"    8.11";"     118";"    2961"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2019";"    0.29";"    7.32";"     106";"    2674"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2020";"    0.25";"    5.57";"      93";"    2040"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2021";"    0.24";"    5.47";"      89";"    1998"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2018";"    0.32";"    8.02";"     119";"    2929"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2019";"    0.32";"    8.38";"     117";"    3059"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2020";"    0.23";"    5.57";"      82";"    2040"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2021";"    0.26";"    6.43";"      93";"    2348"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2018";"    0.02";"    0.41";"       7";"     150"
