"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per day/Trips (number)";"Average per person per day/Distance travelled                       (passenger kilometres )";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2021";"    1.09";"   17.86";"     398";"    6518"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2018";"    1.22";"   22.91";"     445";"    8364"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2019";"    1.26";"   25.53";"     461";"    9318"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2020";"    1.09";"   18.27";"     398";"    6687"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2021";"    1.07";"   20.74";"     391";"    7569"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2018";"    0.27";"    6.18";"      99";"    2257"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2019";"    0.26";"    6.23";"      94";"    2275"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2020";"    0.20";"    4.00";"      73";"    1463"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2021";"    0.22";"    4.70";"      79";"    1717"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2018";"    0.20";"    5.03";"      74";"    1837"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2019";"    0.19";"    4.42";"      69";"    1613"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2020";"    0.16";"    3.47";"      57";"    1270"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2021";"    0.17";"    3.85";"      63";"    1406"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2018";"    0.27";"    6.09";"      98";"    2224"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2019";"    0.28";"    6.41";"     101";"    2341"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2020";"    0.21";"    3.83";"      76";"    1403"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2021";"    0.23";"    5.00";"      82";"    1826"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2018";"    0.30";"    6.05";"     108";"    2209"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2019";"    0.26";"    6.88";"      96";"    2510"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2020";"    0.23";"    4.40";"      83";"    1610"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2021";"    0.23";"    5.22";"      85";"    1907"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2018";"    0.31";"    7.42";"     114";"    2707"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2019";"    0.30";"    7.18";"     108";"    2619"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2020";"    0.21";"    4.35";"      78";"    1590"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2021";"    0.24";"    4.93";"      88";"    1800"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2018";"    0.31";"    6.92";"     113";"    2527"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2019";"    0.29";"    7.31";"     104";"    2668"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2020";"    0.23";"    4.60";"      83";"    1684"
"Total";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2021";"    0.23";"    4.74";"      83";"    1732"
"Total";"Population: 12 years or older";"Train";"Value";"The Netherlands";"2018";"    0.08";"    4.14";"      31";"    1512"
"Total";"Population: 12 years or older";"Train";"Value";"The Netherlands";"2019";"    0.09";"    4.35";"      32";"    1588"
"Total";"Population: 12 years or older";"Train";"Value";"The Netherlands";"2020";"    0.04";"    1.70";"      13";"     623"
"Total";"Population: 12 years or older";"Train";"Value";"The Netherlands";"2021";"    0.04";"    1.78";"      14";"     651"
"Total";"Population: 12 years or older";"Train";"Value";"Extremely urbanised";"2018";"    0.14";"    6.65";"      52";"    2429"
"Total";"Population: 12 years or older";"Train";"Value";"Extremely urbanised";"2019";"    0.14";"    6.99";"      52";"    2551"
"Total";"Population: 12 years or older";"Train";"Value";"Extremely urbanised";"2020";"    0.05";"    2.49";"      19";"     910"
"Total";"Population: 12 years or older";"Train";"Value";"Extremely urbanised";"2021";"    0.06";"    3.16";"      23";"    1152"
"Total";"Population: 12 years or older";"Train";"Value";"Strongly urbanised";"2018";"    0.08";"    4.23";"      31";"    1545"
"Total";"Population: 12 years or older";"Train";"Value";"Strongly urbanised";"2019";"    0.09";"    4.76";"      33";"    1737"
"Total";"Population: 12 years or older";"Train";"Value";"Strongly urbanised";"2020";"    0.04";"    1.95";"      15";"     712"
"Total";"Population: 12 years or older";"Train";"Value";"Strongly urbanised";"2021";"    0.04";"    1.76";"      14";"     643"
"Total";"Population: 12 years or older";"Train";"Value";"Moderately urbanised";"2018";"    0.08";"    3.67";"      29";"    1341"
"Total";"Population: 12 years or older";"Train";"Value";"Moderately urbanised";"2019";"    0.07";"    3.40";"      26";"    1240"
"Total";"Population: 12 years or older";"Train";"Value";"Moderately urbanised";"2020";"    0.03";"    1.18";"      10";"     433"
"Total";"Population: 12 years or older";"Train";"Value";"Moderately urbanised";"2021";"    0.03";"    1.13";"      10";"     414"
"Total";"Population: 12 years or older";"Train";"Value";"Hardly urbanised";"2018";"    0.04";"    2.35";"      15";"     856"
"Total";"Population: 12 years or older";"Train";"Value";"Hardly urbanised";"2019";"    0.05";"    2.32";"      17";"     845"
"Total";"Population: 12 years or older";"Train";"Value";"Hardly urbanised";"2020";"    0.02";"    0.96";"       7";"     351"
"Total";"Population: 12 years or older";"Train";"Value";"Hardly urbanised";"2021";"    0.02";"    0.94";"       7";"     342"
"Total";"Population: 12 years or older";"Train";"Value";"Not urbanised";"2018";"    0.04";"    2.04";"      13";"     743"
"Total";"Population: 12 years or older";"Train";"Value";"Not urbanised";"2019";"    0.05";"    2.07";"      16";"     756"
"Total";"Population: 12 years or older";"Train";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Total";"Population: 12 years or older";"Train";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Total";"Population: 12 years or older";"Bus/metro";"Value";"The Netherlands";"2018";"    0.08";"    1.14";"      30";"     418"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"The Netherlands";"2019";"    0.08";"    1.12";"      28";"     411"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"The Netherlands";"2020";"    0.04";"    0.51";"      14";"     185"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"The Netherlands";"2021";"    0.04";"    0.57";"      14";"     209"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Extremely urbanised";"2018";"    0.18";"    1.95";"      67";"     712"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Extremely urbanised";"2019";"    0.17";"    1.86";"      61";"     678"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Extremely urbanised";"2020";"    0.08";"    0.84";"      31";"     306"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Extremely urbanised";"2021";"    0.08";"    0.94";"      31";"     342"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Strongly urbanised";"2018";"    0.06";"    0.98";"      24";"     357"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Strongly urbanised";"2019";"    0.06";"    0.98";"      22";"     359"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Strongly urbanised";"2020";"    0.03";"    0.42";"      11";"     153"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Strongly urbanised";"2021";"    0.03";"    0.48";"      11";"     176"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Moderately urbanised";"2018";"    0.04";"    0.85";"      16";"     311"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Moderately urbanised";"2019";"    0.04";"    0.84";"      16";"     305"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Moderately urbanised";"2020";"    0.02";"    0.43";"       7";"     159"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Moderately urbanised";"2021";"    0.01";"    0.27";"       5";"      99"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Hardly urbanised";"2018";"    0.04";"    0.83";"      14";"     302"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Hardly urbanised";"2019";"    0.03";"    0.79";"      12";"     288"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Hardly urbanised";"2020";"    0.01";"    0.35";"       5";"     128"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Hardly urbanised";"2021";"    0.02";"    0.49";"       8";"     181"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Not urbanised";"2018";"    0.03";"    0.80";"      12";"     291"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Not urbanised";"2019";"    0.03";"    0.89";"      13";"     326"
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Total";"Population: 12 years or older";"Bus/metro";"Value";"Not urbanised";"2021";"    0.02";"    0.50";"       8";"     182"
"Total";"Population: 12 years or older";"Bike";"Value";"The Netherlands";"2018";"    0.76";"    3.21";"     276";"    1172"
"Total";"Population: 12 years or older";"Bike";"Value";"The Netherlands";"2019";"    0.72";"    3.05";"     264";"    1112"
"Total";"Population: 12 years or older";"Bike";"Value";"The Netherlands";"2020";"    0.60";"    2.64";"     219";"     966"
"Total";"Population: 12 years or older";"Bike";"Value";"The Netherlands";"2021";"    0.61";"    2.71";"     222";"     988"
"Total";"Population: 12 years or older";"Bike";"Value";"Extremely urbanised";"2018";"    0.84";"    3.32";"     307";"    1211"
"Total";"Population: 12 years or older";"Bike";"Value";"Extremely urbanised";"2019";"    0.81";"    3.17";"     295";"    1156"
"Total";"Population: 12 years or older";"Bike";"Value";"Extremely urbanised";"2020";"    0.62";"    2.62";"     227";"     958"
"Total";"Population: 12 years or older";"Bike";"Value";"Extremely urbanised";"2021";"    0.63";"    2.65";"     231";"     966"
"Total";"Population: 12 years or older";"Bike";"Value";"Strongly urbanised";"2018";"    0.78";"    3.23";"     284";"    1177"
"Total";"Population: 12 years or older";"Bike";"Value";"Strongly urbanised";"2019";"    0.74";"    2.99";"     271";"    1092"
"Total";"Population: 12 years or older";"Bike";"Value";"Strongly urbanised";"2020";"    0.61";"    2.46";"     222";"     899"
"Total";"Population: 12 years or older";"Bike";"Value";"Strongly urbanised";"2021";"    0.62";"    2.58";"     226";"     942"
"Total";"Population: 12 years or older";"Bike";"Value";"Moderately urbanised";"2018";"    0.75";"    3.19";"     275";"    1165"
"Total";"Population: 12 years or older";"Bike";"Value";"Moderately urbanised";"2019";"    0.75";"    3.15";"     275";"    1150"
"Total";"Population: 12 years or older";"Bike";"Value";"Moderately urbanised";"2020";"    0.65";"    2.77";"     238";"    1013"
"Total";"Population: 12 years or older";"Bike";"Value";"Moderately urbanised";"2021";"    0.66";"    2.83";"     241";"    1033"
"Total";"Population: 12 years or older";"Bike";"Value";"Hardly urbanised";"2018";"    0.69";"    3.13";"     254";"    1141"
"Total";"Population: 12 years or older";"Bike";"Value";"Hardly urbanised";"2019";"    0.66";"    3.02";"     239";"    1103"
"Total";"Population: 12 years or older";"Bike";"Value";"Hardly urbanised";"2020";"    0.56";"    2.85";"     206";"    1042"
"Total";"Population: 12 years or older";"Bike";"Value";"Hardly urbanised";"2021";"    0.56";"    2.76";"     206";"    1006"
"Total";"Population: 12 years or older";"Bike";"Value";"Not urbanised";"2018";"    0.59";"    3.09";"     215";"    1129"
"Total";"Population: 12 years or older";"Bike";"Value";"Not urbanised";"2019";"    0.53";"    2.76";"     195";"    1008"
"Total";"Population: 12 years or older";"Bike";"Value";"Not urbanised";"2020";"    0.50";"    2.60";"     183";"     953"
"Total";"Population: 12 years or older";"Bike";"Value";"Not urbanised";"2021";"    0.52";"    3.02";"     190";"    1104"
"Total";"Population: 12 years or older";"Walking";"Value";"The Netherlands";"2018";"    0.42";"    0.89";"     154";"     325"
"Total";"Population: 12 years or older";"Walking";"Value";"The Netherlands";"2019";"    0.40";"    0.88";"     146";"     320"
"Total";"Population: 12 years or older";"Walking";"Value";"The Netherlands";"2020";"    0.51";"    1.13";"     187";"     415"
"Total";"Population: 12 years or older";"Walking";"Value";"The Netherlands";"2021";"    0.60";"    1.39";"     218";"     509"
"Total";"Population: 12 years or older";"Walking";"Value";"Extremely urbanised";"2018";"    0.53";"    1.07";"     194";"     392"
"Total";"Population: 12 years or older";"Walking";"Value";"Extremely urbanised";"2019";"    0.50";"    1.05";"     184";"     384"
"Total";"Population: 12 years or older";"Walking";"Value";"Extremely urbanised";"2020";"    0.59";"    1.22";"     216";"     445"
"Total";"Population: 12 years or older";"Walking";"Value";"Extremely urbanised";"2021";"    0.71";"    1.56";"     261";"     571"
"Total";"Population: 12 years or older";"Walking";"Value";"Strongly urbanised";"2018";"    0.43";"    0.91";"     158";"     332"
"Total";"Population: 12 years or older";"Walking";"Value";"Strongly urbanised";"2019";"    0.40";"    0.88";"     145";"     322"
"Total";"Population: 12 years or older";"Walking";"Value";"Strongly urbanised";"2020";"    0.53";"    1.16";"     195";"     425"
"Total";"Population: 12 years or older";"Walking";"Value";"Strongly urbanised";"2021";"    0.60";"    1.37";"     219";"     499"
"Total";"Population: 12 years or older";"Walking";"Value";"Moderately urbanised";"2018";"    0.38";"    0.86";"     140";"     314"
"Total";"Population: 12 years or older";"Walking";"Value";"Moderately urbanised";"2019";"    0.38";"    0.82";"     137";"     298"
"Total";"Population: 12 years or older";"Walking";"Value";"Moderately urbanised";"2020";"    0.48";"    1.06";"     175";"     389"
"Total";"Population: 12 years or older";"Walking";"Value";"Moderately urbanised";"2021";"    0.54";"    1.30";"     198";"     476"
"Total";"Population: 12 years or older";"Walking";"Value";"Hardly urbanised";"2018";"    0.35";"    0.76";"     129";"     276"
"Total";"Population: 12 years or older";"Walking";"Value";"Hardly urbanised";"2019";"    0.34";"    0.78";"     123";"     283"
"Total";"Population: 12 years or older";"Walking";"Value";"Hardly urbanised";"2020";"    0.45";"    1.06";"     163";"     387"
"Total";"Population: 12 years or older";"Walking";"Value";"Hardly urbanised";"2021";"    0.53";"    1.33";"     194";"     487"
"Total";"Population: 12 years or older";"Walking";"Value";"Not urbanised";"2018";"    0.31";"    0.68";"     112";"     249"
"Total";"Population: 12 years or older";"Walking";"Value";"Not urbanised";"2019";"    0.30";"    0.72";"     110";"     262"
"Total";"Population: 12 years or older";"Walking";"Value";"Not urbanised";"2020";"    0.42";"    1.10";"     153";"     402"
"Total";"Population: 12 years or older";"Walking";"Value";"Not urbanised";"2021";"    0.49";"    1.28";"     180";"     466"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"The Netherlands";"2018";"    0.59";"   11.35";"     215";"    4143"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"The Netherlands";"2019";"    0.54";"   10.45";"     198";"    3813"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"The Netherlands";"2020";"    0.40";"    6.61";"     145";"    2420"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"The Netherlands";"2021";"    0.40";"    6.57";"     145";"    2400"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Extremely urbanised";"2018";"    0.59";"   10.35";"     214";"    3776"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Extremely urbanised";"2019";"    0.52";"    9.04";"     191";"    3301"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Extremely urbanised";"2020";"    0.33";"    5.02";"     121";"    1838"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Extremely urbanised";"2021";"    0.33";"    4.79";"     119";"    1747"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Strongly urbanised";"2018";"    0.59";"   11.49";"     214";"    4196"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Strongly urbanised";"2019";"    0.54";"   10.45";"     198";"    3813"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Strongly urbanised";"2020";"    0.39";"    6.76";"     143";"    2473"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Strongly urbanised";"2021";"    0.40";"    6.50";"     147";"    2374"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Moderately urbanised";"2018";"    0.59";"   11.36";"     214";"    4146"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Moderately urbanised";"2019";"    0.56";"   11.23";"     205";"    4101"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Moderately urbanised";"2020";"    0.44";"    6.92";"     160";"    2534"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Moderately urbanised";"2021";"    0.41";"    6.79";"     149";"    2479"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Hardly urbanised";"2018";"    0.60";"   12.01";"     219";"    4384"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Hardly urbanised";"2019";"    0.54";"   10.75";"     198";"    3924"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Hardly urbanised";"2020";"    0.44";"    7.55";"     162";"    2764"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Hardly urbanised";"2021";"    0.45";"    7.91";"     164";"    2887"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Not urbanised";"2018";"    0.59";"   12.01";"     215";"    4382"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Not urbanised";"2019";"    0.56";"   12.39";"     205";"    4523"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Not urbanised";"2020";"    0.42";"    7.96";"     154";"    2912"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Total";"Value";"Not urbanised";"2021";"    0.46";"    8.72";"     168";"    3181"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2018";"    0.29";"    7.30";"     106";"    2664"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2019";"    0.26";"    6.66";"      96";"    2431"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2020";"    0.21";"    4.70";"      75";"    1719"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2021";"    0.20";"    4.64";"      74";"    1694"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2018";"    0.20";"    5.08";"      72";"    1853"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2019";"    0.18";"    4.37";"      64";"    1594"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2020";"    0.13";"    2.94";"      47";"    1075"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2021";"    0.12";"    2.75";"      45";"    1004"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2018";"    0.29";"    7.57";"     107";"    2762"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2019";"    0.26";"    6.50";"      95";"    2371"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2020";"    0.20";"    4.73";"      73";"    1732"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2021";"    0.21";"    4.66";"      75";"    1700"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2018";"    0.32";"    7.54";"     117";"    2752"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2019";"    0.30";"    7.72";"     111";"    2817"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2020";"    0.24";"    5.06";"      87";"    1853"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2021";"    0.22";"    4.98";"      81";"    1817"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2018";"    0.35";"    8.72";"     127";"    3184"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2019";"    0.31";"    7.87";"     114";"    2871"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2020";"    0.27";"    5.98";"      99";"    2189"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2021";"    0.26";"    5.87";"      95";"    2141"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2018";"    0.35";"    8.62";"     127";"    3146"
"Travel to/from work, (non)-daily commute";"Population: 12 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2019";"    0.34";"    8.99";"     125";"    3281"
